height_of_video_wall,width_of_video_wall,room_length,room_width,room_height,seating_type,seats_per_row,number_of_rows,seats_per_cluster,number_of_clusters,distance_from_video_wall,number_of_seats
4.790223225983327,5.303354019752653,11.219106307445667,7.020207152293999,4.927608529558851,row,2,5,0,0,13.201644790540954,10
4.047554974328801,7.8035082164705845,10.827088126884798,8.587290349291582,4.220744015656212,cluster,0,0,1,5,13.207479316820772,5
4.81172410295955,6.264215439361355,8.6931002200129,6.972980169665368,4.050010211828589,row,5,1,0,0,8.455811981412769,5
2.2390725187339715,7.576668895980081,12.02208554809112,7.992320049956845,4.317769241753567,cluster,0,0,1,6,9.130328139046863,6
2.031776249344845,5.465685086743601,7.998807854696164,8.761525157293395,4.071507552402218,row,5,1,0,0,1.2191949306823129,5
2.5459211036617457,5.87280116932239,9.674832184931162,9.79488309509842,4.492747333460771,cluster,0,0,1,4,12.17644142840658,4
4.808683605673537,7.511895549399151,17.611193846955835,8.976265273038166,4.036574104737112,row,12,1,0,0,18.507985365652722,12
3.107379760060041,7.505684457639164,13.72188810673152,6.113792911910148,3.818011377238239,cluster,0,0,1,6,15.38404516194332,6
2.431705485438819,6.67896501877026,14.745404509788585,7.103295183266252,3.032505526142617,row,8,1,0,0,10.890092237940376,8
3.6201482246204573,7.271248307183793,13.753333630758494,8.383582603606719,4.391129663806549,cluster,0,0,1,6,9.75871979069244,6
2.5730629938035006,7.389075097056207,11.807578480236181,4.728814520944955,3.1456080158746937,row,1,11,0,0,11.469704723376928,11
2.981545925499081,7.253843554049114,9.992672932105135,5.39760788868393,4.561942762640626,cluster,0,0,1,4,8.119972758286245,4
2.877879591743395,5.768820790021013,12.95688293725257,9.008457328019848,3.6260605816242393,row,4,3,0,0,5.077539818968518,12
2.3965661883690417,5.308779358225578,12.577570589611906,9.712183267625356,3.209896804798106,cluster,0,0,1,6,3.2214295802544237,6
2.5474981330249524,5.529349470681104,8.120360197958473,6.676399033525774,3.0639331283776023,row,7,1,0,0,9.683254219678897,7
3.747167077943278,6.314078624360513,8.931745256585785,8.417583265210624,4.373730042840984,cluster,0,0,1,4,2.066070563239987,4
3.992513139152266,3.8519741003401036,10.86411458972572,12.576972063988851,4.37677975062745,row,5,2,0,0,12.513355132845959,10
2.8850822810273713,6.870507340825737,8.886900465155659,6.5991250480676245,4.021732198347992,cluster,0,0,1,4,3.747583522416008,4
4.850180982930814,4.73250001430428,8.226284322176745,11.076660200624596,4.190128511403818,row,7,1,0,0,11.840484129831509,7
2.125366687621639,4.377796108668284,10.792132852487336,8.283585924510142,4.712156927960709,cluster,0,0,1,5,3.9713640096879503,5
2.458965441100999,5.9681432414074305,11.327509169482466,9.77211184938432,4.087659659710708,row,9,1,0,0,7.916076635259042,9
2.0598203853228427,3.7979260176279643,9.678216219742952,7.126635352342804,3.04290892757169,cluster,0,0,1,4,4.332923208738978,4
3.6554804920276216,5.181768825969547,9.381867127424286,7.240307218915304,4.377939405767949,row,3,3,0,0,11.05303987654955,9
4.528260283385325,4.217226504302003,8.195678958952817,8.360484307028557,3.8407051522074207,cluster,0,0,1,4,22.266452427249135,4
4.546710304965341,4.821765242246388,11.611844535225108,13.964933423530962,4.2501353965158515,row,7,1,0,0,15.962405759758536,7
4.938506015421303,4.362514948515957,12.92999766870989,12.011123550669911,4.268468831428214,cluster,0,0,1,6,16.7998786488868,6
4.3458775468749655,5.2226533035650275,13.017154829809982,6.999870524908764,3.3287710997626863,row,5,2,0,0,13.476704709242089,10
2.9558093231613247,4.966591381410762,9.713974746596547,7.035787420994349,3.864849716528009,cluster,0,0,1,4,6.104259980283736,4
3.2233873121446606,7.989007666158332,12.559214314802903,6.565510881624694,4.711170373682171,row,1,12,0,0,6.232588290759252,12
2.3097381154523853,6.845211949308167,16.774965161400825,6.374591247135002,4.60456739952821,cluster,0,0,1,8,2.293403990220064,8
